customer_id,first_name,last_name,full_name,date_of_birth,age,gender,email,phone,address,city,state,postal_code,country,pan_number,aadhaar_number,education,income,marital_status,source_system
CUST000001,Arjunn,Sharma,Arjun Sharma,1980-04-05,46,Male,arjun.sharma764@gmail.com,916440213415.0,"693, FC Road",Chennai,Tamil Nadu,600001.0,India,PACGP4257W,652580863193.0,,,,CRM
CUST000002,Aditya,Khan,Aditya Khan,1987-06-20,39,Male,aditya.khan280@gmail.com,919466589567.0,"45, Station Road",Pune,Maharashtra,411001.0,India,NZJOV6925S,106798834813.0,,,,CRM
CUST000003,Ayesha,Kapoor,Aisha Kapoor,2003-11-06,23,Female,aisha.kapoor556@gmail.com,919131575764.0,"251, Brigade Road",Pune,Maharashtra,411001.0,India,MHYRF6313Y,720322983639.0,,,,CRM
CUST000004,sNEHA,Gupta,Sneha Gupta,1973-04-24,53,Female,sneha.gupta584@gmail.com,918314889832.0,"270, Ring Road",Chennai,Tamil Nadu,600001.0,India,XKFZN2489Y,16740395980.0,,,,CRM
CUST000005,Arjun,Mehta,Arjun Mehta,1982-11-11,44,Male,arjun.mehta124@gmail.com,917260573448.0,"446, Brigade Road",Jaipur,Rajasthan,302001.0,India,LYWGN3927Q,982661757503.0,,,,CRM
CUST000006,Aarav,Patel,Aarav Patel,1984-04-02,42,Male,aarav.patel256@gmail.com,919771022520.0,"581, FC Road",Delhi,Delhi,110001.0,India,CMBTT3103V,452842572396.0,,,,CRM
CUST000007,Snehaa,Kulkarni,Sneha Kulkarni,1993-02-08,33,Female,sneha.kulkarni240@gmail.com,916274989148.0,"347, MG Road",Jaipur,Rajasthan,302001.0,India,PFFBQ4750C,980262195478.0,,,,CRM
CUST000008,Ananyaa,Patel,Ananya Patel,1992-06-14,34,Female,ananya.patel430@gmail.com,918005855667.0,"885, MG Road",Pune,Maharashtra,411001.0,India,RZCKI2790H,151148088065.0,,,,CRM
CUST000009,Aarav,Patel,Aarav Patel,1975-07-16,51,Male,aarav.patel502@gmail.com,916918037633.0,"886, Ring Road",Hyderabad,Telangana,500001.0,India,XEAKY8454J,499571295570.0,,,,CRM
CUST000010,Nikhil,  Joshi ,Nikhil Joshi,1998-03-02,28,Male,nikhil.joshi993@gmail.com,918181106786.0,"83, Brigade Road",Jaipur,Rajasthan,302001.0,India,BBWKY5033S,564559272362.0,,,,CRM
CUST000011,nEHA,Kulkarni,Neha Kulkarni,1965-08-20,61,Female,,916429416213.0,"76, Park Street",Pune,Maharashtra,411001.0,India,NDJBG5669F,453985659182.0,,,,CRM
CUST000012,Arjun,Kapoor,Arjun Kapoor,1974-05-10,52,Male,arjun.kapoor629@gmail.com,,"735, BTM Layout",Jaipur,Rajasthan,302001.0,India,FQGMX1832C,680319147519.0,,,,CRM
CUST000013,Vihaan,Singh,Vihaan Singh,1988-10-18,38,Male,vihaan.singh161@gmail.com,917845919895.0,"131, MG Road",Mumbai,Maharashtra,400001.0,India,IXUWX4441V,217846198988.0,,,,CRM
CUST000014,Aarav,Gupta,Aarav Gupta,1991-11-28,35,Male,aarav.gupta762@gmail.com,919482141802.0,"255, Nehru Nagar",Delhi,Delhi,110001.0,India,ESJBM4269O,388263207356.0,,,,CRM
CUST000015,Meera,  Iyer ,Meera Iyer,1972-05-06,54,Female,meera.iyer604@gmail.com,917140169349.0,"40, FC Road",Mumbai,Maharashtra,400001.0,India,PIULZ2894M,810458697149.0,,,,CRM
CUST000016,Neha,Nair,Neha Nair,1972-12-10,54,Female,neha.nair529@gmail.com,917328367510.0,"683, Ring Road",Delhi,Delhi,110001.0,India,ISOER7211V,715483276346.0,,,,CRM
CUST000017,Kabir,Joshi,Kabir Joshi,1970-05-17,56,Male,kabir.joshi689@gmail.com,,"635, BTM Layout",Bengaluru,Karnataka,560001.0,India,CYGIU3414A,96748573316.0,,,,CRM
CUST000018,Arjun,Das,Arjun Das,1979-03-26,47,Male,arjun.das990@gmail.com,918988918316.0,"531, Station Road",Ahmedabad,Gujarat,380001.0,India,BGWLU9702R,598675858742.0,,,,CRM
CUST000019,Diya,Mishra,Diya Mishra,1998-08-21,28,Female,diya.mishra254@gmail.com,917179387055.0,"451, FC Road",Chennai,Tamil Nadu,600001.0,India,SGIXC3471H,312434083790.0,,,,CRM
CUST000020,Nikhil,Khan,Nikhil Khan,1965-06-10,61,Male,nikhil.khan781@gmail.com,917674979897.0,"874, Ring Rd",Kolkata,West Bengal,700001.0,India,NTUXM5471N,436778995956.0,,,,CRM
CUST000021,Aditya,Mehta,Aditya Mehta,1973-08-06,53,Male,aditya.mehta61@gmail.com,917117362852.0,"389, BTM Layout",Ahmedabad,Gujarat,380001.0,India,FITJT79060,847092090028.0,,,,CRM
